หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,งบแผนงาน,ประเภทแผนงาน,แผนงาน
25,สำนักงานเขตปทุมวัน,354141000,ง,24010200,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ
25,สำนักงานเขตปทุมวัน,354141000,จ,23082000,โยธา/ก่อสร้าง/จราจร,แผนงานการโยธา: งานการโยธา
25,สำนักงานเขตปทุมวัน,354141000,,5831400,น้ำท่วม/ทางเท้า,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม
25,สำนักงานเขตปทุมวัน,354141000,ช,19880700,สิ่งแวดล้อม,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้
25,สำนักงานเขตปทุมวัน,354141000,ซ,26464000,พัฒนาชุมชน/อาชีพ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน
25,สำนักงานเขตปทุมวัน,354141000,,5735000,อนามัย/สาธารณะสุข,งานควบคุมอนามัย
25,สำนักงานเขตปทุมวัน,354141000,ญ,50339000,การศึกษา,แผนงานบริหารการศึกษา
26,สำนักงานเขตยานนาวา,310196614,,310196614,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
26,สำนักงานเขตยานนาวา,310196614,ก,27628700,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารงานปกครองและทะเบียน
26,สำนักงานเขตยานนาวา,310196614,ข,10636875,การคลัง,แผนงานบริหารการคลัง
26,สำนักงานเขตยานนาวา,310196614,ค,130687300,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความสะอาด: งานรักษาความสะอาด
26,สำนักงานเขตยานนาวา,310196614,ง,13696300,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ
26,สำนักงานเขตยานนาวา,310196614,จ,12713000,โยธา/ก่อสร้าง/จราจร,แผนงานการโยธา: งานการโยธา
26,สำนักงานเขตยานนาวา,310196614,ช,20063000,สิ่งแวดล้อม,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้
26,สำนักงานเขตยานนาวา,310196614,ซ,19715600,พัฒนาชุมชน/อาชีพ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน
26,สำนักงานเขตยานนาวา,310196614,,5277485,อนามัย/สาธารณะสุข,งานควบคุมอนามัย
26,สำนักงานเขตยานนาวา,310196614,ญ,35796700,การศึกษา,แผนงานบริหารการศึกษา: งานบริหารการศึกษา
27,สำนักงานเขตดุสิต,401245000,,401245000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
27,สำนักงานเขตดุสิต,401245000,ก,44663100,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารงานปกครองและทะเบียน
27,สำนักงานเขตดุสิต,401245000,ข,11408200,การคลัง,แผนงานบริหารการคลัง
27,สำนักงานเขตดุสิต,401245000,ค,173520000,เทศกิจ/รักษาความสะอาด,แผนงานรักษาความสะอาด: งานรักษาความสะอาด
